"id_marketing";"Rok";"Mesiac";"Suma";"Popis"
"1";"2021";"1";"38.50";"Facebook Ads"
"2";"2021";"2";"42.10";"Google Ads"
"3";"2021";"3";"33.40";"Lokálna reklama"
"4";"2021";"4";"47.90";"Facebook Ads"
"5";"2021";"5";"35.60";"Google Ads"
"6";"2021";"6";"49.20";"Letáky"
"7";"2021";"7";"32.80";"Facebook Ads"
"8";"2021";"8";"44.30";"Google Ads"
"9";"2021";"9";"39.70";"Lokálna reklama"
"10";"2021";"10";"45.10";"Facebook Ads"
"11";"2021";"11";"36.50";"Google Ads"
"12";"2021";"12";"48.90";"Letáky"
"13";"2022";"1";"41.20";"Facebook Ads"
"14";"2022";"2";"37.80";"Google Ads"
"15";"2022";"3";"49.50";"Lokálna reklama"
"16";"2022";"4";"32.70";"Facebook Ads"
"17";"2022";"5";"45.60";"Google Ads"
"18";"2022";"6";"34.40";"Letáky"
"19";"2022";"7";"48.30";"Facebook Ads"
"20";"2022";"8";"39.20";"Google Ads"
"21";"2022";"9";"44.80";"Lokálna reklama"
"22";"2022";"10";"35.10";"Facebook Ads"
"23";"2022";"11";"47.70";"Google Ads"
"24";"2022";"12";"33.90";"Letáky"
"25";"2023";"1";"40.10";"Facebook Ads"
"26";"2023";"2";"34.20";"Google Ads"
"27";"2023";"3";"46.70";"Lokálna reklama"
"28";"2023";"4";"37.40";"Facebook Ads"
"29";"2023";"5";"49.30";"Google Ads"
"30";"2023";"6";"33.80";"Letáky"
"31";"2023";"7";"42.90";"Facebook Ads"
"32";"2023";"8";"38.10";"Google Ads"
"33";"2023";"9";"48.50";"Lokálna reklama"
"34";"2023";"10";"31.90";"Facebook Ads"
"35";"2023";"11";"44.70";"Google Ads"
"36";"2023";"12";"36.80";"Letáky"
"37";"2024";"1";"38.70";"Facebook Ads"
"38";"2024";"2";"43.10";"Google Ads"
"39";"2024";"3";"47.90";"Lokálna reklama"
"40";"2024";"4";"34.60";"Facebook Ads"
"41";"2024";"5";"49.40";"Google Ads"
"42";"2024";"6";"31.70";"Letáky"
"43";"2024";"7";"46.30";"Facebook Ads"
"44";"2024";"8";"37.50";"Google Ads"
"45";"2024";"9";"43.80";"Lokálna reklama"
"46";"2024";"10";"39.10";"Facebook Ads"
"47";"2024";"11";"32.50";"Google Ads"
"48";"2024";"12";"48.20";"Letáky"
"49";"2025";"1";"35.90";"Facebook Ads"
"50";"2025";"2";"41.40";"Google Ads"
"51";"2025";"3";"33.70";"Lokálna reklama"
"52";"2025";"4";"48.60";"Facebook Ads"
"53";"2025";"5";"37.30";"Google Ads"
"54";"2025";"6";"43.40";"Letáky"
"55";"2025";"7";"49.10";"Facebook Ads"
"56";"2025";"8";"36.90";"Google Ads"
"57";"2025";"9";"45.70";"Lokálna reklama"
"58";"2025";"10";"32.80";"Facebook Ads"
"59";"2025";"11";"47.50";"Google Ads"
"60";"2025";"12";"34.90";"Letáky"
