"pouzite_diely_id";"Artikel";"Mnozstvo"
"6001";"1100297404";"1"
"6001";"1100308121";"1"
"6002";"1100315778";"1"
"6003";"1100281617";"1"
"6003";"1100285547";"1"
"7000";"1101001502";"1"
"7000";"1101001503";"1"
"7001";"1100297404";"1"
"7001";"1100308121";"1"
"7002";"1102002306";"1"
"7003";"1101001332";"1"
"7003";"1101001333";"1"
"7004";"1106001302";"1"
"7004";"1106001303";"1"
"7005";"1101001422";"1"
"7005";"1101001423";"1"
"7006";"1101001524";"1"
"7006";"1101001525";"1"
"7007";"1102002312";"1"
"7007";"1102002313";"1"
"7008";"1103002101";"1"
"7008";"1103002103";"1"
"7009";"1103002003";"1"
"7010";"1101001432";"1"
"7010";"1101001433";"1"
"7011";"1101001304";"1"
"7011";"1101001305";"1"
"7012";"1101001512";"1"
"7012";"1101001513";"1"
"7013";"1102002202";"1"
"7013";"1102002203";"1"
"7014";"1103002701";"1"
"7014";"1103002702";"1"
"7015";"1101001322";"1"
"7015";"1101001323";"1"
"7016";"1101001414";"1"
"7016";"1101001415";"1"
"7017";"1102002226";"1"
"7018";"1103002202";"1"
"7018";"1103002203";"1"
"7019";"1106001402";"1"
"7019";"1106001403";"1"
"7020";"1101001512";"1"
"7020";"1101001513";"1"
"7021";"1101001524";"1"
"7021";"1101001525";"1"
"7022";"1102002314";"1"
"7022";"1102002315";"1"
"7023";"1101001334";"1"
"7023";"1101001335";"1"
"7024";"1106001602";"1"
"7024";"1106001603";"1"
"7025";"1101001402";"1"
"7025";"1101001403";"1"
"7026";"1101001302";"1"
"7026";"1101001303";"1"
"7027";"1102002304";"1"
"7027";"1102002305";"1"
"7028";"1100281617";"1"
"7029";"1103002003";"1"
"7030";"1101001502";"1"
"7030";"1101001503";"1"
"7031";"1101001524";"1"
"7031";"1101001525";"1"
"7032";"1101001422";"1"
"7032";"1101001423";"1"
"7033";"1102002312";"1"
"7033";"1102002313";"1"
"7034";"1103002104";"1"
"7034";"1103002105";"1"
"7035";"1101001432";"1"
"7035";"1101001433";"1"
"7036";"1101001304";"1"
"7036";"1101001305";"1"
"7037";"1102002306";"1"
"7038";"1101001514";"1"
"7038";"1101001515";"1"
"7039";"1106001302";"1"
"7039";"1106001303";"1"
"7040";"1101001322";"1"
"7040";"1101001323";"1"
"7041";"1101001524";"1"
"7041";"1101001525";"1"
"7042";"1102002212";"1"
"7042";"1102002213";"1"
"7043";"1103002701";"1"
"7043";"1103002702";"1"
"7044";"1103002003";"1"
"7045";"1101001402";"1"
"7045";"1101001403";"1"
"7046";"1101001302";"1"
"7046";"1101001303";"1"
"7047";"1101001512";"1"
"7047";"1101001513";"1"
"7048";"1102002316";"1"
"7049";"1106001602";"1"
"7049";"1106001603";"1"
"7050";"1101001502";"1"
"7050";"1101001503";"1"
"7051";"1101001524";"1"
"7051";"1101001525";"1"
"7052";"1102002302";"1"
"7052";"1102002303";"1"
"7053";"1103002101";"1"
"7053";"1103002103";"1"
"7054";"1106001401";"1"
"7055";"1101001422";"1"
"7055";"1101001423";"1"
"7056";"1101001304";"1"
"7056";"1101001305";"1"
"7057";"1101001532";"1"
"7057";"1101001533";"1"
"7058";"1102002226";"1"
"7059";"1103002204";"1"
"7059";"1103002205";"1"
"8000";"1101001302";"1"
"8000";"1101001303";"1"
"8001";"1101001304";"1"
