"Praca_id";"Technik_id";"Druh_prace";"Trvanie_h"
"9000";"3001";"servisná práca";"1.00"
"9001";"3002";"servisná práca";"0.70"
"9002";"3003";"servisná práca";"1.20"
"9003";"3001";"servisná práca";"1.10"
"9004";"3002";"servisná práca";"1.30"
"9005";"3003";"servisná práca";"0.80"
"9006";"3001";"servisná práca";"0.60"
"9007";"3002";"servisná práca";"1.00"
"9008";"3003";"servisná práca";"1.10"
"9009";"3001";"servisná práca";"1.40"
"9010";"3002";"servisná práca";"1.00"
"9011";"3003";"servisná práca";"0.60"
"9012";"3001";"servisná práca";"1.20"
"9013";"3002";"servisná práca";"1.30"
"9014";"3003";"servisná práca";"1.50"
"9015";"3001";"servisná práca";"1.00"
"9016";"3002";"servisná práca";"1.20"
"9017";"3003";"servisná práca";"0.90"
"9018";"3001";"servisná práca";"1.30"
"9019";"3002";"servisná práca";"1.40"
"9020";"3003";"servisná práca";"1.00"
"9021";"3001";"servisná práca";"0.60"
"9022";"3002";"servisná práca";"0.80"
"9023";"3003";"servisná práca";"1.20"
"9024";"3001";"servisná práca";"1.40"
"9025";"3002";"servisná práca";"1.00"
"9026";"3003";"servisná práca";"0.70"
"9027";"3001";"servisná práca";"1.30"
"9028";"3002";"servisná práca";"1.20"
"9029";"3003";"servisná práca";"0.90"
"9030";"3001";"servisná práca";"1.10"
"9031";"3002";"servisná práca";"0.60"
"9032";"3003";"servisná práca";"1.00"
"9033";"3001";"servisná práca";"1.30"
"9034";"3002";"servisná práca";"1.50"
"9035";"3003";"servisná práca";"1.00"
"9036";"3001";"servisná práca";"0.70"
"9037";"3002";"servisná práca";"1.10"
"9038";"3003";"servisná práca";"1.20"
"9039";"3001";"servisná práca";"0.80"
"9040";"3002";"servisná práca";"1.10"
"9041";"3003";"servisná práca";"0.60"
"9042";"3001";"servisná práca";"1.00"
"9043";"3002";"servisná práca";"1.30"
"9044";"3003";"servisná práca";"1.40"
"9045";"3001";"servisná práca";"1.00"
"9046";"3002";"servisná práca";"0.70"
"9047";"3003";"servisná práca";"0.90"
"9048";"3001";"servisná práca";"1.20"
"9049";"3002";"servisná práca";"1.30"
"9050";"3003";"servisná práca";"1.10"
"9051";"3001";"servisná práca";"0.60"
"9052";"3002";"servisná práca";"1.00"
"9053";"3003";"servisná práca";"1.40"
"9054";"3001";"servisná práca";"1.50"
"9055";"3002";"servisná práca";"1.00"
"9056";"3003";"servisná práca";"0.80"
"9057";"3001";"servisná práca";"1.20"
"9058";"3002";"servisná práca";"1.30"
"9059";"3003";"servisná práca";"1.10"
"9060";"3001";"servisná práca";"1.00"
"9061";"3002";"servisná práca";"0.80"
"9062";"3003";"servisná práca";"1.30"
"9063";"3001";"servisná práca";"1.10"
"9064";"3002";"servisná práca";"0.90"
"9065";"3003";"servisná práca";"1.20"
"9066";"3001";"servisná práca";"0.70"
"9067";"3002";"servisná práca";"1.10"
"9068";"3003";"servisná práca";"1.40"
"9069";"3001";"servisná práca";"1.00"
"9070";"3002";"servisná práca";"1.20"
"9071";"3003";"servisná práca";"0.80"
"9072";"3001";"servisná práca";"1.30"
"9073";"3002";"servisná práca";"1.00"
"9074";"3003";"servisná práca";"1.50"
"9075";"3001";"servisná práca";"0.90"
"9076";"3002";"servisná práca";"1.40"
"9077";"3003";"servisná práca";"1.10"
"9078";"3001";"servisná práca";"1.20"
"9079";"3002";"servisná práca";"0.80"
"9080";"3003";"servisná práca";"1.30"
"9081";"3001";"servisná práca";"0.70"
"9082";"3002";"servisná práca";"1.00"
"9083";"3003";"servisná práca";"1.40"
"9084";"3001";"servisná práca";"1.10"
"9085";"3002";"servisná práca";"1.30"
"9086";"3003";"servisná práca";"0.90"
"9087";"3001";"servisná práca";"1.20"
"9088";"3002";"servisná práca";"1.40"
"9089";"3003";"servisná práca";"1.00"
"9090";"3001";"servisná práca";"1.10"
"9091";"3002";"servisná práca";"1.20"
"9092";"3003";"servisná práca";"0.80"
"9093";"3001";"servisná práca";"1.30"
"9094";"3002";"servisná práca";"1.50"
"9095";"3003";"servisná práca";"1.10"
"9096";"3001";"servisná práca";"0.90"
"9097";"3002";"servisná práca";"1.00"
"9098";"3003";"servisná práca";"1.30"
"9099";"3001";"servisná práca";"1.20"
"9100";"3002";"servisná práca";"0.80"
"9101";"3003";"servisná práca";"1.10"
"9102";"3001";"servisná práca";"1.40"
"9103";"3002";"servisná práca";"1.20"
"9104";"3003";"servisná práca";"0.90"
"9105";"3001";"servisná práca";"1.30"
"9106";"3002";"servisná práca";"0.70"
"9107";"3003";"servisná práca";"1.20"
"9108";"3001";"servisná práca";"1.00"
"9109";"3002";"servisná práca";"1.10"
"9110";"3003";"servisná práca";"1.40"
"9111";"3001";"servisná práca";"1.20"
"9112";"3002";"servisná práca";"1.00"
"9113";"3003";"servisná práca";"0.80"
"9114";"3001";"servisná práca";"1.30"
"9115";"3002";"servisná práca";"1.40"
"9116";"3003";"servisná práca";"0.90"
"9117";"3001";"servisná práca";"1.50"
"9118";"3002";"servisná práca";"1.20"
"9119";"3003";"servisná práca";"1.10"
"9200";"3001";"servisná práca";"1.00"
"9201";"3002";"servisná práca";"0.70"
"9202";"3003";"servisná práca";"1.20"
"9203";"3001";"servisná práca";"1.10"
"9204";"3002";"servisná práca";"1.30"
"9205";"3003";"servisná práca";"0.80"
"9206";"3001";"servisná práca";"0.60"
"9207";"3002";"servisná práca";"1.00"
"9208";"3003";"servisná práca";"1.10"
"9209";"3001";"servisná práca";"1.40"
"9210";"3002";"servisná práca";"1.00"
"9211";"3003";"servisná práca";"0.60"
"9212";"3001";"servisná práca";"1.20"
"9213";"3002";"servisná práca";"1.30"
"9214";"3003";"servisná práca";"1.50"
"9215";"3001";"servisná práca";"1.00"
"9216";"3002";"servisná práca";"1.20"
"9217";"3003";"servisná práca";"0.90"
"9218";"3001";"servisná práca";"1.30"
"9219";"3002";"servisná práca";"1.40"
