"Protokol_id";"Zakaznik_id";"Technik_id";"Zariadenie_id";"Praca_id";"Datum_prijatia";"Datum_odovzdania";"Stav_zariadenia";"Popis_prijmu";"Popis_vystupu";"Cena";"pouzite_diely_id"
"1200";"2001";"3001";"ip15";"9060";"2025-01-03";"2025-01-05";"používaný, poškodený displej";"Rozbitý displej, výmena požadovaná.";"Vymenený displej, test bez závad.";"279.86";"7000"
"1201";"2002";"3001";"ip14";"9061";"2025-01-09";"2025-01-10";"slabá výdrž";"Výmena batérie požadovaná.";"Nová batéria + lepka, test nabíjania OK.";"97.86";"7001"
"1202";"2003";"3002";"sg23";"9062";"2025-01-15";"2025-01-17";"nenabíja";"Chybný modul PCB.";"PCB vymenený, test OK.";"104.86";"7002"
"1203";"2004";"3002";"ip13pm";"9063";"2025-01-21";"2025-01-22";"rozbitý displej";"Výmena displeja.";"Vymenený displej + lepka.";"279.86";"7003"
"1204";"2005";"3003";"mba13m2";"9064";"2025-01-27";"2025-01-29";"slabá výdrž";"Výmena batérie.";"Vymenená batéria, test cyklov OK.";"251.86";"7004"
"1205";"2006";"3001";"ip14pr";"9065";"2025-02-03";"2025-02-05";"prasknutý displej";"Žiadosť o výmenu displeja.";"Vymenený displej, test OK.";"279.86";"7005"
"1206";"2007";"3001";"ip15p";"9066";"2025-02-09";"2025-02-10";"slabá výdrž";"Výmena batérie.";"Nová batéria, test nabíjania OK.";"97.86";"7006"
"1207";"2008";"3002";"sg23p";"9067";"2025-02-15";"2025-02-17";"prasknutý panel";"Výmena displeja.";"Vymenený displej, test obrazu OK.";"265.86";"7007"
"1208";"2009";"3002";"ip21";"9068";"2025-02-21";"2025-02-22";"dotyk nereaguje";"Výmena LCD.";"Vymenený LCD + lepka.";"363.86";"7008"
"1209";"2010";"3003";"mbp14";"9069";"2025-02-27";"2025-02-28";"hlučný ventilátor";"Prepastovanie.";"Chladenie vyčistené, teploty OK.";"125.86";"7009"
"1210";"2011";"3001";"ip14pm";"9070";"2025-03-03";"2025-03-05";"rozbitý displej";"Výmena displeja.";"Vymenený displej, test OK.";"293.86";"7010"
"1211";"2012";"3001";"ip13";"9071";"2025-03-09";"2025-03-10";"výdrž zlá";"Výmena batérie.";"Nová batéria + lepka.";"97.86";"7011"
"1212";"2013";"3002";"ip15p";"9072";"2025-03-15";"2025-03-17";"pruhy v obraze";"Výmena displeja.";"Displej + lepenie, test OK.";"279.86";"7012"
"1213";"2014";"3002";"sg22";"9073";"2025-03-21";"2025-03-22";"rozbitý panel";"Výmena displeja.";"Displej + lepka, test OK.";"251.86";"7013"
"1214";"2015";"3002";"ipmn6";"9074";"2025-03-27";"2025-03-29";"nereaguje dotyk";"Výmena LCD.";"Vymenený LCD + lepenie.";"363.86";"7014"
"1215";"2016";"3001";"ip13pr";"9075";"2025-04-03";"2025-04-05";"rozbitý displej";"Výmena displeja.";"Nový displej, test OK.";"279.86";"7015"
"1216";"2017";"3001";"ip14p";"9076";"2025-04-09";"2025-04-10";"zlá výdrž";"Výmena batérie.";"Batéria vymenená, test OK.";"97.86";"7016"
"1217";"2018";"3002";"sg22u";"9077";"2025-04-15";"2025-04-17";"nenabíja";"Výmena PCB.";"PCB vymenené, port OK.";"104.86";"7017"
"1218";"2019";"3002";"ip22";"9078";"2025-04-21";"2025-04-22";"rozbitý displej";"Výmena LCD.";"Vymenený LCD + lepenie.";"363.86";"7018"
"1219";"2020";"3003";"mbp14";"9079";"2025-04-27";"2025-04-29";"výdrž nízka";"Výmena batérie.";"Batéria + lepka, test OK.";"251.86";"7019"
"1220";"2021";"3001";"ip15p";"9080";"2025-05-03";"2025-05-05";"rozbitý displej";"Výmena displeja.";"Nový displej, test OK.";"279.86";"7020"
"1221";"2022";"3001";"ip15";"9081";"2025-05-09";"2025-05-10";"slabá výdrž";"Výmena batérie.";"Batéria + lepka.";"97.86";"7021"
"1222";"2023";"3002";"sg23p";"9082";"2025-05-15";"2025-05-17";"výdrž nízka";"Výmena batérie.";"Batéria vymenená.";"83.86";"7022"
"1223";"2024";"3002";"ip13pm";"9083";"2025-05-21";"2025-05-22";"kapacita slabá";"Výmena batérie.";"Batéria vymenená.";"97.86";"7023"
"1224";"2025";"3003";"mbp16";"9084";"2025-05-27";"2025-05-29";"nízka výdrž";"Výmena batérie.";"Batéria nová, test cyklov OK.";"251.86";"7024"
"1225";"2026";"3001";"ip14";"9085";"2025-06-03";"2025-06-05";"poškodený panel";"Výmena displeja.";"Displej + lepka, test OK.";"279.86";"7025"
"1226";"2027";"3001";"ip13";"9086";"2025-06-09";"2025-06-10";"rozbitý displej";"Výmena displeja.";"Nový displej, test OK.";"251.86";"7026"
"1227";"2028";"3002";"sg23";"9087";"2025-06-15";"2025-06-17";"slabá výdrž";"Výmena batérie.";"Batéria + lepka.";"83.86";"7027"
"1228";"2029";"3002";"sg22";"9088";"2025-06-21";"2025-06-22";"nenabíja";"Výmena PCB.";"PCB vymenený, test OK.";"104.86";"7028"
"1229";"2030";"3003";"astuf";"9089";"2025-06-27";"2025-06-29";"prehrievanie";"Prepastovanie.";"Chladenie vyčistené.";"125.86";"7029"
"1230";"2031";"3001";"ip15";"9090";"2025-07-03";"2025-07-05";"rozbitý displej";"Výmena displeja.";"Displej vymenený.";"279.86";"7030"
"1231";"2032";"3001";"ip15p";"9091";"2025-07-09";"2025-07-10";"zlá výdrž";"Výmena batérie.";"Batéria vymenená.";"97.86";"7031"
