"Artikel";"Nazov";"Match_code";"Pozicia";"Cena";"Kvalita";"Mnozstvo";"Dodavatel_id"
"1100281617";"Samsung Galaxy S23 S911B - Nabíjací Konektor PCB Doska - GH96-15629A Genuine Service Pack";"GH96-15629A";"1-B-1";"23.98";"original";"3";"4003"
"1100285547";"Samsung Galaxy S23 S911B - Lepka pod Batériový Kryt Adhesive";"SAMS911B-01";"1-B-1";"2.48";"aftermarket";"7";"4002"
"1100297404";"Apple iPhone 15 - Lepka pod LCD Adhesive";"AI15-03";"1-A-2";"2.48";"aftermarket";"10";"4001"
"1100297425";"Apple iPhone 15 Pro - Lepka pod LCD Adhesive";"AI15P-03";"1-A-3";"2.48";"aftermarket";"10";"4001"
"1100308121";"Apple iPhone 15 - LCD Displej + Dotykové Sklo + Rám Soft OLED FixPremium";"AI15-51";"1-A-1";"149.98";"fixpremium";"3";"4001"
"1100315778";"Apple iPhone 15 Pro - Batéria A3011 3274mAh Service Pack";"AI15P-46";"1-A-3";"32.98";"original";"4";"4003"
"1101001302";"Apple iPhone 13 - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP13-DISP";"1-C-1";"139.90";"aftermarket";"5";"4001"
"1101001303";"Apple iPhone 13 - Lepka pod LCD Adhesive";"IP13-LEPKA";"1-C-2";"2.50";"aftermarket";"20";"4001"
"1101001304";"Apple iPhone 13 - Batéria A2636 3227mAh";"IP13-BAT";"1-C-3";"59.90";"original";"5";"4003"
"1101001305";"Apple iPhone 13 - Lepka pod batériu Adhesive";"IP13-BAT-LEP";"1-C-4";"1.90";"aftermarket";"10";"4002"
"1101001322";"Apple iPhone 13 Pro - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP13PR-DISP";"1-C-5";"149.90";"aftermarket";"5";"4001"
"1101001323";"Apple iPhone 13 Pro - Lepka pod LCD Adhesive";"IP13PR-LEPKA";"1-C-6";"2.50";"aftermarket";"15";"4001"
"1101001332";"Apple iPhone 13 Pro Max - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP13PM-DISP";"1-C-7";"159.90";"aftermarket";"4";"4001"
"1101001333";"Apple iPhone 13 Pro Max - Lepka pod LCD Adhesive";"IP13PM-LEPKA";"1-C-8";"2.50";"aftermarket";"20";"4001"
"1101001334";"Apple iPhone 13 Pro Max - Batéria A2653 4352mAh";"IP13PM-BAT";"1-C-9";"59.90";"original";"5";"4003"
"1101001335";"Apple iPhone 13 Pro Max - Lepka pod batériu Adhesive";"IP13PM-BAT-LEP";"1-C-10";"1.90";"aftermarket";"10";"4002"
"1101001402";"Apple iPhone 14 - LCD Displej + Dotykové Sklo + Rám Soft OLED";"IP14-DISP";"1-B-1";"149.90";"aftermarket";"6";"4001"
"1101001403";"Apple iPhone 14 - Lepka pod LCD Adhesive";"IP14-LEPKA";"1-B-2";"2.50";"aftermarket";"25";"4001"
"1101001414";"Apple iPhone 14 Plus - Batéria A2886 4323mAh";"IP14P-BAT";"1-B-3";"59.90";"original";"5";"4003"
