"id_zariadenia";"Typ_zariadenia";"Nazov";"Znacka"
"astuf";"Notebook";"ASUS TUF FX506";"ASUS"
"ip13";"Mobilný telefón";"iPhone 13";"Apple"
"ip13pm";"Mobilný telefón";"iPhone 13 Pro Max";"Apple"
"ip13pr";"Mobilný telefón";"iPhone 13 Pro";"Apple"
"ip14";"Mobilný telefón";"iPhone 14";"Apple"
"ip14p";"Mobilný telefón";"iPhone 14 Plus";"Apple"
"ip14pm";"Mobilný telefón";"iPhone 14 Pro Max";"Apple"
"ip14pr";"Mobilný telefón";"iPhone 14 Pro";"Apple"
"ip15";"Mobilný telefón";"iPhone 15";"Apple"
"ip15p";"Mobilný telefón";"iPhone 15 Pro";"Apple"
"ip15pm";"Mobilný telefón";"iPhone 15 Pro Max";"Apple"
"ip15pr";"Mobilný telefón";"iPhone 15 Pro";"Apple"
"ipd11a";"Mobilný telefón";"iPad 11 air";"Apple"
"ipd11p";"Mobilný telefón";"iPad pro 11";"Apple"
"ipd18";"Tablet";"iPad 2018";"Apple"
"ipd20";"Tablet";"iPad 2020";"Apple"
"ipd21";"Tablet";"iPad 2021";"Apple"
"ipd22";"Tablet";"iPad 2022";"Apple"
"ipd23";"Tablet";"iPad 2023";"Apple"
"ipmn6";"Tablet";"iPad Mini 6";"Apple"
"lenp11";"Tablet";"Lenovo Tab P11";"Lenovo"
"lenyt";"Tablet";"Lenovo Tab YT-X705F";"Lenovo"
"mb13a";"Mobilný telefón";"MacBook air 13";"Apple"
"mb13p";"Mobilný telefón";"MacBook pro 13";"Apple"
"mba13m2";"Notebook";"MacBook Air 13 M2";"Apple"
"mbp14";"Notebook";"MacBook Pro 14";"Apple"
"mbp16";"Notebook";"MacBook Pro 16";"Apple"
"sg22";"Mobilný telefón";"Samsung Galaxy S22";"Samsung"
"sg22p";"Mobilný telefón";"Samsung Galaxy S22 Plus";"Samsung"
"sg22u";"Mobilný telefón";"Samsung Galaxy S22 Ultra";"Samsung"
"sg23";"Mobilný telefón";"Samsung Galaxy S23";"Samsung"
"sg23p";"Mobilný telefón";"Samsung Galaxy S23 Plus";"Samsung"
"sg23u";"Mobilný telefón";"Samsung Galaxy S23 Ultra";"Samsung"
